type,epoch,fitness_mean,fitness_median,fitness_best,fitness_worst,fitness_std,sample_count,round_from,round_to,fitness_mean_from,fitness_mean_to,fitness_mean_delta,fitness_best_from,fitness_best_to,fitness_best_delta,fitness_improved_ratio,tau_l2_delta_mean,tau_mean_abs_delta_mean,rho_mean_abs_delta,fitness_delta_mean,fitness_delta_median,fitness_delta_best,fitness_delta_worst,fitness_delta_improved_ratio,round
epoch_population_distribution,1,37.93717513020834,34.592875,33.211,65.01774999999999,7.7025040035941625,768.0,,,,,,,,,,,,,,,,,,
epoch_population_distribution,2,37.9439326171875,35.18325,33.5855,58.42575,3.8834757457848945,768.0,,,,,,,,,,,,,,,,,,
epoch_population_distribution,3,38.324877604166666,34.418625000000006,30.36,67.38825,7.321119285227831,768.0,,,,,,,,,,,,,,,,,,
epoch_population_distribution,4,38.76075390625,34.817375,31.0725,67.253,7.658526696921884,768.0,,,,,,,,,,,,,,,,,,
round_pair_summary,1,,,,,,,1.0,2.0,38.9416728515625,36.008963867187504,-2.9327089843749974,33.211,33.7745,0.5635000000000048,0.578125,106.3022918701172,91.21871185302734,3.548500061035156,,,,,,
round_pair_summary,1,,,,,,,2.0,3.0,36.008963867187504,38.860888671875,2.851924804687499,33.7745,33.89125,0.1167499999999961,0.29296875,33.748817443847656,20.058595657348636,4.334708213806152,,,,,,
round_pair_summary,2,,,,,,,1.0,2.0,35.236737304687495,36.947185546875005,1.7104482421875105,34.7355,33.5855,-1.1500000000000057,0.57421875,203.9507293701172,203.95065307617188,4.2510833740234375,,,,,,
round_pair_summary,2,,,,,,,2.0,3.0,36.947185546875005,41.647875,4.700689453124994,33.5855,34.30825,0.7227500000000049,0.125,0.1912676095962524,0.050244353711605,4.630833148956299,,,,,,
round_pair_summary,3,,,,,,,1.0,2.0,34.309000976562515,37.979748046875,3.670747070312487,34.305499999999995,33.984750000000005,-0.3207499999999896,0.21875,124.45398712158205,123.9293212890625,3.5427916049957275,,,,,,
round_pair_summary,3,,,,,,,2.0,3.0,37.979748046875,42.6858837890625,4.706135742187499,33.984750000000005,30.36,-3.624750000000006,0.20703125,70.11572265625,69.18318176269531,4.033916473388672,,,,,,
round_pair_summary,4,,,,,,,1.0,2.0,37.0641162109375,39.707767578125,2.643651367187502,34.0065,31.0725,-2.934000000000001,0.2890625,2.1747117042541504,1.363037109375,3.654416561126709,,,,,,
round_pair_summary,4,,,,,,,2.0,3.0,39.707767578125,39.5103779296875,-0.1973896484375004,31.0725,33.83075000000001,2.7582500000000074,0.6875,133.9532928466797,133.38327026367188,3.3168749809265137,,,,,,
per_sample_delta,1,,,,,,,1.0,2.0,,,,,,,,,,,-2.932708984375001,-0.10299999999999795,-30.042,24.9135,0.578125,
per_sample_delta,1,,,,,,,2.0,3.0,,,,,,,,,,,2.851924804687501,0.4143750000000068,-25.154000000000003,26.335000000000008,0.29296875,
per_sample_delta,2,,,,,,,1.0,2.0,,,,,,,,,,,1.710448242187506,-0.16049999999999895,-3.540500000000001,23.442,0.57421875,
per_sample_delta,2,,,,,,,2.0,3.0,,,,,,,,,,,4.700689453125,6.7677499999999995,-18.44125,10.682000000000002,0.125,
per_sample_delta,3,,,,,,,1.0,2.0,,,,,,,,,,,3.670747070312496,0.1524999999999927,-0.3245000000000004,32.80425,0.21875,
per_sample_delta,3,,,,,,,2.0,3.0,,,,,,,,,,,4.706135742187499,5.334999999999994,-25.788000000000004,32.697,0.20703125,
per_sample_delta,4,,,,,,,1.0,2.0,,,,,,,,,,,2.6436513671875,2.8781250000000114,-24.723,32.34275000000001,0.2890625,
per_sample_delta,4,,,,,,,2.0,3.0,,,,,,,,,,,-0.19738964843750034,-2.359625000000001,-32.98625,29.18275000000001,0.6875,
round_distribution,1,38.9416728515625,34.539249999999996,33.211,65.01774999999999,8.988958212455369,,,,,,,,,,,,,,,,,,,1.0
round_distribution,1,36.008963867187504,34.383,33.7745,59.33525,5.6849669494828206,,,,,,,,,,,,,,,,,,,2.0
round_distribution,1,38.860888671875,34.952124999999995,33.89125,61.0185,7.699689848303437,,,,,,,,,,,,,,,,,,,3.0
round_distribution,2,35.236737304687495,34.98374999999999,34.7355,37.126,0.7024555879984976,,,,,,,,,,,,,,,,,,,1.0
round_distribution,2,36.947185546875005,34.914125,33.5855,58.42575,4.53203868402964,,,,,,,,,,,,,,,,,,,2.0
round_distribution,2,41.647875,41.77825,34.30825,45.483250000000005,1.473001276392491,,,,,,,,,,,,,,,,,,,3.0
round_distribution,3,34.309000976562515,34.309250000000006,34.305499999999995,34.309250000000006,0.0009337158123356943,,,,,,,,,,,,,,,,,,,1.0
round_distribution,3,37.979748046875,34.46175,33.984750000000005,67.1135,8.720244828144974,,,,,,,,,,,,,,,,,,,2.0
round_distribution,3,42.6858837890625,41.94875,30.36,67.38825,7.0348374243358895,,,,,,,,,,,,,,,,,,,3.0
round_distribution,4,37.0641162109375,34.645875000000004,34.0065,59.217,6.2672248661096965,,,,,,,,,,,,,,,,,,,1.0
round_distribution,4,39.707767578125,38.202875000000006,31.0725,67.253,6.306222355124272,,,,,,,,,,,,,,,,,,,2.0
round_distribution,4,39.51037792968751,34.534,33.83075000000001,63.71725,9.621600441057335,,,,,,,,,,,,,,,,,,,3.0
